MakeM;BatCap;BatCapNameplate;EffCharAC;EffDischarAC;EffCharDC;EffDischarDC;MaxChPwrAC;MaxChPwrDC;MaxDischPwrAC;MaxDischPwrDC
09EB7117-5094-49E3-B752-B8F9269F3056;64.7;null;0.9;null;1;1;11;null;null;null
5004DDDE-075F-4E4B-9255-3480012B30D2;86.5;null;0.9;null;1;1;11;null;null;null
8EA88DCC-4912-4493-A910-5B37A8A2EB66;8.1;null;0.86;null;1;1;3.7;null;null;null
F8815CE9-E638-4F0B-B6C2-52239F68E145;37.9;42.2;0.9;null;1;1;11;50;null;null
947FF82F-F829-4A41-9EA7-8A4A5EAB95C0;18.8;22;0.85;null;1;1;7.4;50;null;null
2B2B92BC-A330-4C24-B33A-B5159EBE947C;27.2;33.2;0.82;null;1;1;11;50;null;null
E8E646EA-FF3F-43A5-A8EF-714E1A468ACE;21.6;null;0.9;null;1;1;3.7;null;null;null
34F02BDB-B13D-45DB-B70E-07BC4475E8D1;60;null;0.88;null;1;1;7.4;50;null;null
7E832921-DB54-4E7B-87FB-278744E6C644;14;14.5;0.94;null;1;1;3.7;40;null;null
864F4985-53D1-438E-8B97-D89B3ACF2A19;8.9;null;null;null;null;null;3.7;null;null;null
56855095-24AD-49DC-BCE2-AEC3327804B5;27;null;0.94;null;1;1;6.6;50;null;null
26AD86BD-F3A1-4089-9114-A3909B3D0326;8.9;null;null;null;null;null;3.7;59;null;null
81D2A4F5-8B0A-49DA-8208-03D5EF5F6F12;14.5;16;0.94;null;1;1;3.7;40;null;null
AA8E3CDA-C767-4C54-B898-CE02F5D6667F;11;13.8;0.8;null;1;1;11;20;null;null
87040C50-FFFF-4F19-BA03-5308564600CE;21.6;24;0.9;null;1;1;3.6;40;null;null
97557D70-8953-4D4E-8732-D044933CD873;27;30;0.9;null;1;1;3.6;40;null;null
EB1BB1C8-1CB6-45E3-B88F-4234C5C5FD12;37;40;0.92;null;1;1;3.6;46;null;null
5399BC5C-FDDF-4AC6-8AF4-522713530939;56;62;0.92;null;1;1;6.6;100;null;null
B41C4F97-EC98-4D29-8995-78076AA08F05;10.5;16;0.95;null;1;1;3.3;null;null;null
51ACFEFB-A26C-4451-BE5F-92B85CE49471;60;null;0.88;null;1;1;7.4;50;null;null
CDCAD11C-7CCC-482B-985C-EDE9BC90C311;22.5;null;0.95;null;1;1;3.22;50;null;null
3070C85F-E082-4972-BDE8-7DF27BB53598;21.4;23;0.85;null;null;null;22;null;null;null
736D20F1-D137-43BC-B7C3-631DE8254A08;52;54.7;null;null;1;1;22;46;null;null
2CDBDC16-5E34-4B0D-84E4-776C989D7BC4;23.3;25.9;null;null;1;1;22;null;null;null
203DE1B1-9F6E-4207-B626-0022DF963E30;41;44.1;null;null;1;1;22;null;null;null
03D4E25F-0844-4341-B61F-DB8DC70E6BCA;75;null;0.95;null;1;1;11;170;null;null
EA33AAD9-8615-42F3-BCA7-CB59E7D15DC2;52;null;0.95;null;1;1;11;170;null;null
EF3366A4-05EE-4EBA-AE9E-7045A5D501CC;75;null;0.96;null;1;1;16.5;170;null;null
C469BCD9-5E9F-41AD-A7D5-05BA84AEC58C;24;27;0.9;null;1;1;3;null;null;null
6623A4F4-485D-43CC-B533-0C252E683BD6;0.38;null;null;null;null;null;0.084;0.084;null;0.25
0565D0AA-5FA8-43C1-ABB4-0A49F7141A95;21.2;24.2;null;null;1;1;3.7;44;null;null
5E3F361B-F66C-4365-88FE-654B6DA75C3A;31.5;35.8;null;null;1;1;7.2;40;null;null
5A083479-139E-4B2C-B483-0F8EB282AA6A;32.3;36.8;0.82;null;1;1;7.2;40;null;null
52A0EFB1-5152-421D-827F-7212C2ABC110;2.2;2.2;0.92;null;0.92;null;1.65;1.65;null;null
